"Country","HaveWorkedLanguage","Frequency"
"ALL","Assembly",1823
"ALL","C",6974
"ALL","C#",12476
"ALL","C++",8155
"ALL","Clojure",391
"ALL","CoffeeScript",1192
"ALL","CommonLisp",273
"ALL","Dart",145
"ALL","Elixir",380
"ALL","Erlang",281
"ALL","F#",457
"ALL","Go",1557
"ALL","Groovy",1193
"ALL","Hack",107
"ALL","Haskell",649
"ALL","Java",14524
"ALL","JavaScript",22875
"ALL","Julia",138
"ALL","Lua",1039
"ALL","Matlab",1569
"ALL","Objective-C",2349
"ALL","Perl",1585
"ALL","PHP",10290
"ALL","Python",11704
"ALL","R",1634
"ALL","Ruby",3324
"ALL","Rust",416
"ALL","Scala",1309
"ALL","Smalltalk",327
"ALL","SQL",18754
"ALL","Swift",2368
"ALL","TypeScript",3488
"ALL","VB.NET",2273
"ALL","VBA",1574
"ALL","VisualBasic6",1071
"United States","Swift",692
"United Kingdom","JavaScript",2214
"United Kingdom","Python",1038
"United Kingdom","Ruby",307
"United Kingdom","SQL",1849
"United Kingdom","Java",940
"United Kingdom","PHP",888
"United States","Matlab",380
"United States","Python",3348
"United States","R",538
"United States","SQL",4589
"New Zealand","JavaScript",132
"New Zealand","PHP",40
"New Zealand","Rust",3
"Poland","CoffeeScript",45
"Poland","Clojure",11
"Poland","Elixir",13
"Poland","Erlang",11
"Poland","Haskell",19
"Poland","JavaScript",563
"Poland","Python",292
"Poland","Ruby",81
"Colombia","C#",33
"Colombia","JavaScript",79
"France","Objective-C",66
"France","Swift",66
"United Kingdom","C",441
"United Kingdom","C++",570
"Germany","Java",1458
"Germany","JavaScript",1770
"Germany","Ruby",248
"Germany","SQL",1450
"United Kingdom","Assembly",113
"United States","JavaScript",5699
"United States","VB.NET",611
"United States","C",1534
"United States","Clojure",120
"United States","Rust",128
"Greece","Perl",12
"Greece","Python",79
"United Kingdom","C#",1386
"Israel","Java",187
"Italy","PHP",217
"Italy","SQL",313
"United States","Java",3191
"United States","Scala",345
"India","Java",1378
"India","JavaScript",1580
"India","Objective-C",186
"India","Python",735
"India","Swift",144
"Israel","JavaScript",246
"Israel","Python",156
"Germany","C#",953
"Brazil","JavaScript",361
"Croatia","Assembly",6
"Croatia","C",21
"Italy","C#",164
"Italy","JavaScript",376
"Italy","Matlab",24
"Italy","Python",158
"Italy","R",18
"Argentina","C#",51
"Argentina","F#",2
"Argentina","JavaScript",121
"Argentina","SQL",91
"Netherlands","C#",254
"Netherlands","JavaScript",416
"Netherlands","SQL",351
"Netherlands","TypeScript",88
"United States","C++",1837
"United States","Lua",253
"Ukraine","Java",75
"Ukraine","JavaScript",136
"Ukraine","SQL",103
"United States","VBA",404
"United States","Groovy",315
"Sri Lanka","C++",25
"Sri Lanka","C#",37
"Sri Lanka","Java",67
"Sri Lanka","JavaScript",73
"Sri Lanka","Lua",2
"Sri Lanka","SQL",64
"Malaysia","JavaScript",92
"Malaysia","Ruby",16
"United States","C#",3100
"United States","Assembly",418
"United States","Perl",560
"Brazil","Java",240
"Brazil","PHP",161
"Brazil","Ruby",57
"Germany","PHP",937
"Finland","Java",81
"Finland","JavaScript",156
"Finland","PHP",64
"Finland","SQL",101
"Finland","VB.NET",6
"Italy","Go",16
"Italy","Java",250
"Turkey","C#",89
"Turkey","JavaScript",121
"Turkey","SQL",110
"Canada","C#",647
"India","C#",658
"India","SQL",1373
"Ukraine","PHP",54
"United Kingdom","Swift",180
"United Kingdom","VBA",214
"Netherlands","C",98
"Netherlands","C++",126
"Netherlands","Java",247
"Netherlands","Matlab",30
"India","C++",694
"Italy","CoffeeScript",19
"Italy","Ruby",25
"United States","CoffeeScript",304
"United States","Ruby",1123
"Finland","Python",92
"Austria","Elixir",3
"Austria","Java",184
"Austria","JavaScript",224
"Austria","SQL",207
"France","Assembly",82
"France","C",343
"France","C++",342
"France","Java",496
"France","JavaScript",807
"France","Perl",70
"France","Python",437
"France","Ruby",114
"France","SQL",631
"France","TypeScript",129
"Israel","C#",143
"Israel","PHP",65
"Israel","SQL",187
"Israel","TypeScript",52
"Israel","VB.NET",10
"Brazil","Python",164
"Brazil","SQL",267
"Brazil","Scala",10
"Croatia","JavaScript",82
"Croatia","Python",40
"Germany","CoffeeScript",98
"Germany","Haskell",81
"Germany","Python",947
"Poland","C#",292
"India","C",817
"Germany","Smalltalk",43
"United States","VisualBasic6",233
"Turkey","TypeScript",8
"United States","Go",473
"United States","Objective-C",655
"Russian Federation","Java",184
"Russian Federation","Scala",28
"Germany","C++",868
"Brazil","VB.NET",32
"Brazil","VisualBasic6",18
"United Kingdom","CommonLisp",20
"United Kingdom","Clojure",41
"United Kingdom","Go",128
"United Kingdom","CoffeeScript",99
"Mexico","C",48
"Mexico","C++",43
"Mexico","JavaScript",170
"Mexico","Perl",10
"Bulgaria","C#",68
"Spain","Java",285
"Spain","JavaScript",390
"Spain","SQL",308
"United Kingdom","VB.NET",307
"United States","PHP",1827
"Uruguay","C#",29
"Uruguay","Java",27
"Uruguay","JavaScript",38
"Uruguay","Python",16
"Uruguay","SQL",30
"Uruguay","TypeScript",3
"Denmark","Java",70
"Denmark","JavaScript",147
"Denmark","Lua",9
"Denmark","PHP",58
"Denmark","R",15
"Denmark","SQL",119
"Estonia","C#",21
"Estonia","Java",33
"Estonia","JavaScript",60
"Estonia","Python",25
"Estonia","SQL",46
"Bangladesh","C#",28
"Bangladesh","JavaScript",73
"Bangladesh","Matlab",6
"Bangladesh","PHP",63
"Bangladesh","SQL",54
"Finland","CoffeeScript",10
"India","Matlab",107
"United States","TypeScript",832
"Lithuania","C",13
"Lithuania","C#",54
"Lithuania","JavaScript",83
"United Kingdom","F#",85
"United Kingdom","Haskell",57
"Denmark","C#",114
"Denmark","Python",62
"Denmark","Scala",8
"Denmark","VBA",11
"Lithuania","SQL",61
"France","PHP",439
"Israel","Ruby",29
"Israel","Scala",35
"Germany","Go",136
"Greece","Java",109
"Greece","JavaScript",135
"Greece","PHP",79
"Greece","SQL",125
"Ukraine","Elixir",4
"United States","CommonLisp",71
"India","PHP",885
"Russian Federation","JavaScript",313
"Russian Federation","TypeScript",56
"United Kingdom","Perl",139
"Sweden","CoffeeScript",16
"Sweden","JavaScript",279
"Sweden","PHP",83
"Sweden","SQL",216
"United States","F#",112
"United Kingdom","Objective-C",181
"Canada","CoffeeScript",70
"Canada","Elixir",16
"Canada","JavaScript",1104
"Canada","Ruby",174
"Canada","SQL",872
"Romania","C++",113
"Romania","Java",160
"Romania","JavaScript",261
"Canada","Groovy",63
"Canada","Java",613
"Poland","SQL",439
"Netherlands","PHP",237
"India","Go",55
"India","Ruby",147
"India","VBA",69
"Serbia","C#",53
"Slovenia","C#",72
"Slovenia","Java",118
"Slovenia","SQL",138
"Poland","Groovy",49
"Poland","Java",351
"Costa Rica","C#",18
"Costa Rica","Java",26
"Costa Rica","JavaScript",33
"Costa Rica","SQL",28
"Poland","C++",228
"Netherlands","Go",35
"Netherlands","Python",214
"Netherlands","Ruby",63
"Netherlands","Rust",11
"United States","Dart",39
"Israel","Assembly",22
"Israel","C",69
"Israel","C++",85
"Israel","CommonLisp",4
"Israel","Perl",11
"Argentina","PHP",54
"Argentina","Python",39
"Greece","C++",52
"Canada","Objective-C",114
"Canada","Swift",130
"Canada","Lua",53
"Canada","Python",620
"Netherlands","Assembly",21
"Costa Rica","Perl",2
"United Kingdom","Rust",32
"United Kingdom","TypeScript",361
"Malaysia","C++",33
"Malaysia","C#",44
"Malaysia","Java",69
"Malaysia","Lua",1
"Malaysia","PHP",52
"Malaysia","Python",27
"Malaysia","SQL",68
"Malaysia","VB.NET",19
"Canada","C++",407
"Dominican Republic","C#",29
"Dominican Republic","SQL",27
"Iran","Go",10
"Iran","Groovy",3
"Iran","Java",135
"Iran","JavaScript",167
"Iran","Python",96
"Iran","Ruby",16
"Iran","Scala",9
"Iran","SQL",150
"India","Assembly",167
"Sweden","Assembly",27
"Sweden","C",100
"Sweden","Erlang",14
"Sweden","Go",15
"Sweden","Java",169
"Sweden","Python",158
"Poland","PHP",230
"Serbia","Assembly",9
"Serbia","C",21
"Serbia","C++",28
"Serbia","Java",75
"Serbia","Matlab",8
"Serbia","Python",29
"Israel","Objective-C",25
"Canada","VB.NET",135
"Dominican Republic","Python",11
"Dominican Republic","R",4
